Day,Replicate,Mosq.species,Met_RFP,Met_Hyb,Ctrl_Fung,Ctrl_Pyr,Perm,Delta
2,Replicate1,An.kisumu,2,1,0,0,0,0
2.5,Replicate1,An.kisumu,0,1,0,0,0,0
3,Replicate1,An.kisumu,0,5,0,0,0,0
3.5,Replicate1,An.kisumu,0,5,0,0,0,0
4,Replicate1,An.kisumu,3,4,0,0,0,0
4.5,Replicate1,An.kisumu,2,6,0,0,0,0
5,Replicate1,An.kisumu,1,0,0,0,0,0
5.5,Replicate1,An.kisumu,1,0,0,0,0,0
6,Replicate1,An.kisumu,1,3,0,0,0,0
6.5,Replicate1,An.kisumu,6,0,0,0,0,0
7,Replicate1,An.kisumu,5,1,0,0,0,0
7.5,Replicate1,An.kisumu,2,0,0,0,0,0
8,Replicate1,An.kisumu,1,0,0,0,0,0
8.5,Replicate1,An.kisumu,1,0,0,0,0,0
9,Replicate1,An.kisumu,2,0,0,0,0,0
9.5,Replicate1,An.kisumu,2,0,0,0,0,0
10,Replicate1,An.kisumu,0,0,0,0,0,0
10.5,Replicate1,An.kisumu,0,0,0,0,0,0
11,Replicate1,An.kisumu,0,0,0,0,0,0
11.5,Replicate1,An.kisumu,0,0,0,0,0,0
12,Replicate1,An.kisumu,0,0,0,0,0,0
12.5,Replicate1,An.kisumu,0,0,0,0,0,0
13,Replicate1,An.kisumu,0,0,0,0,0,0
13.5,Replicate1,An.kisumu,0,0,0,0,0,0
14,Replicate1,An.kisumu,0,0,0,0,0,0
Alive,Replicate1,An.kisumu,0,0,24,23,0,0
0,Replicate2,An.kisumu,0,0,0,0,0,0
0.5,Replicate2,An.kisumu,0,0,0,0,0,0
1,Replicate2,An.kisumu,0,0,0,0,25,25
1.5,Replicate2,An.kisumu,0,0,0,0,0,0
2,Replicate2,An.kisumu,1,3,0,0,0,0
2.5,Replicate2,An.kisumu,1,2,0,0,0,0
3,Replicate2,An.kisumu,1,0,0,0,0,0
3.5,Replicate2,An.kisumu,2,0,0,0,0,0
4,Replicate2,An.kisumu,0,6,0,0,0,0
4.5,Replicate2,An.kisumu,2,7,0,0,0,0
5,Replicate2,An.kisumu,6,0,0,0,0,0
5.5,Replicate2,An.kisumu,6,4,0,0,0,0
6,Replicate2,An.kisumu,0,2,0,0,0,0
6.5,Replicate2,An.kisumu,2,0,0,0,0,0
7,Replicate2,An.kisumu,1,2,0,0,0,0
7.5,Replicate2,An.kisumu,2,2,0,0,0,0
8,Replicate2,An.kisumu,1,0,0,0,0,0
8.5,Replicate2,An.kisumu,1,0,0,0,0,0
9,Replicate2,An.kisumu,0,0,0,0,0,0
9.5,Replicate2,An.kisumu,1,0,0,0,0,0
10,Replicate2,An.kisumu,2,0,0,0,0,0
10.5,Replicate2,An.kisumu,0,0,0,0,0,0
11,Replicate2,An.kisumu,0,0,0,0,0,0
11.5,Replicate2,An.kisumu,0,0,0,0,0,0
12,Replicate2,An.kisumu,0,0,0,0,0,0
12.5,Replicate2,An.kisumu,0,0,0,0,0,0
13,Replicate2,An.kisumu,0,0,0,0,0,0
13.5,Replicate2,An.kisumu,0,0,0,0,0,0
14,Replicate2,An.kisumu,0,0,0,0,0,0
Alive,Replicate2,An.kisumu,0,0,25,25,0,0
0,Replicate3,An.kisumu,0,0,0,0,0,0
0.5,Replicate3,An.kisumu,0,0,0,0,0,0
1,Replicate3,An.kisumu,0,0,0,0,25,25
1.5,Replicate3,An.kisumu,0,0,0,0,0,0
2,Replicate3,An.kisumu,0,2,0,0,0,0
2.5,Replicate3,An.kisumu,0,2,1,0,0,0
3,Replicate3,An.kisumu,1,1,0,0,0,0
3.5,Replicate3,An.kisumu,1,6,0,0,0,0
4,Replicate3,An.kisumu,3,6,0,0,0,0
4.5,Replicate3,An.kisumu,0,4,0,0,0,0
5,Replicate3,An.kisumu,2,2,0,0,0,0
5.5,Replicate3,An.kisumu,0,2,0,0,0,0
6,Replicate3,An.kisumu,1,0,0,0,0,0
6.5,Replicate3,An.kisumu,2,0,0,0,0,0
7,Replicate3,An.kisumu,5,1,0,0,0,0
7.5,Replicate3,An.kisumu,4,0,0,0,0,0
8,Replicate3,An.kisumu,0,0,0,0,0,0
8.5,Replicate3,An.kisumu,3,0,0,0,0,0
9,Replicate3,An.kisumu,0,0,0,0,0,0
9.5,Replicate3,An.kisumu,1,0,0,0,0,0
10,Replicate3,An.kisumu,1,0,0,0,0,0
10.5,Replicate3,An.kisumu,0,0,0,1,0,0
11,Replicate3,An.kisumu,2,2,0,0,0,0
11.5,Replicate3,An.kisumu,0,0,0,0,0,0
12,Replicate3,An.kisumu,0,0,0,0,0,0
12.5,Replicate3,An.kisumu,0,0,0,0,0,0
13,Replicate3,An.kisumu,0,0,0,0,0,0
13.5,Replicate3,An.kisumu,0,0,0,0,0,0
14,Replicate3,An.kisumu,0,0,0,0,0,0
Alive,Replicate3,An.kisumu,0,0,24,24,0,0
0,Replicate4,An.kisumu,0,0,0,0,0,0
0.5,Replicate4,An.kisumu,0,0,0,0,0,0
1,Replicate4,An.kisumu,0,0,0,0,25,25
1.5,Replicate4,An.kisumu,1,0,0,0,0,0
2,Replicate4,An.kisumu,0,2,0,0,0,0
2.5,Replicate4,An.kisumu,1,1,0,0,0,0
3,Replicate4,An.kisumu,1,3,0,0,0,0
3.5,Replicate4,An.kisumu,1,2,0,0,0,0
4,Replicate4,An.kisumu,1,5,0,0,0,0
4.5,Replicate4,An.kisumu,5,1,0,0,0,0
5,Replicate4,An.kisumu,2,7,0,0,0,0
5.5,Replicate4,An.kisumu,3,2,0,0,0,0
6,Replicate4,An.kisumu,2,0,0,0,0,0
6.5,Replicate4,An.kisumu,2,1,0,0,0,0
7,Replicate4,An.kisumu,2,1,0,0,0,0
7.5,Replicate4,An.kisumu,0,0,0,0,0,0
8,Replicate4,An.kisumu,0,0,0,0,0,0
8.5,Replicate4,An.kisumu,1,0,0,0,0,0
9,Replicate4,An.kisumu,0,0,0,0,0,0
9.5,Replicate4,An.kisumu,1,0,0,0,0,0
10,Replicate4,An.kisumu,1,0,0,0,0,0
10.5,Replicate4,An.kisumu,1,0,0,0,0,0
11,Replicate4,An.kisumu,0,0,0,0,0,0
11.5,Replicate4,An.kisumu,0,0,0,0,0,0
12,Replicate4,An.kisumu,0,0,0,0,0,0
12.5,Replicate4,An.kisumu,0,0,0,1,0,0
13,Replicate4,An.kisumu,0,0,0,0,0,0
13.5,Replicate4,An.kisumu,0,0,0,0,0,0
14,Replicate4,An.kisumu,0,0,0,0,0,0
Alive,Replicate4,An.kisumu,0,0,25,24,0,0
