Day,Day post_inf,RFP 1,RFP 2,RFP 3,RFP 4,Hybrid1,Hybrid 2,Hybrid 3,Hybrid 4,Perm1,Perm2,Perm3,Perm4,Ctrl_RFP1,Ctrl_RFP2,Ctrl_RFP3,Ctrl_RFP4,Ctrl_Hyb1,Ctrl_Hyb2,Ctrl_Hyb3,Ctrl_Hyb4,Ctrl_Perm1,Ctrl_Perm2,Ctrl_Perm3,Ctrl_Perm4,Species
7.5,1 day,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,2,1,1,0,0,0,0,An.kisumu
8,1 day,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,3,0,0,0,0,0,An.kisumu
8.5,1 day,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,An.kisumu
9,1 day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,An.kisumu
9.5,1 day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,An.kisumu
10,1 day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,An.kisumu
10.5,1 day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,An.kisumu
11,1 day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,An.kisumu
11.5,1 day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,An.kisumu
12,1 day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,An.kisumu
12.5,1 day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,An.kisumu
13,1 day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,An.kisumu
13.5,1 day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,An.kisumu
14,1 day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,An.kisumu
Alive,1 day,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,23,26,25,28,An.kisumu
0,2 days,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,An.coluzzii
0.5,2 days,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,An.coluzzii
1,2 days,7,9,8,9,10,9,8,7,4,6,7,5,0,0,0,0,0,0,0,0,0,0,0,0,An.coluzzii
1.5,2 days,2,1,3,1,1,1,6,4,1,0,0,0,1,2,1,0,2,1,2,1,0,0,0,0,An.coluzzii
2,2 days,0,1,1,3,8,1,1,2,0,0,0,0,2,1,1,2,4,2,1,1,0,0,0,0,An.coluzzii
2.5,2 days,1,3,1,0,5,5,9,1,0,0,0,1,1,2,1,2,5,3,4,3,0,0,0,0,An.coluzzii
3,2 days,1,0,1,6,1,0,1,1,0,0,0,0,3,1,2,5,5,4,3,1,0,0,1,0,An.coluzzii
3.5,2 days,2,1,2,1,2,0,0,7,0,0,0,0,2,4,2,3,1,3,3,6,0,0,0,0,An.coluzzii
4,2 days,1,1,0,0,0,1,1,1,0,1,0,0,2,1,1,1,7,2,2,2,0,0,0,0,An.coluzzii
4.5,2 days,1,0,1,0,0,2,1,2,0,0,0,0,0,0,1,0,0,2,7,2,0,0,0,1,An.coluzzii
5,2 days,2,2,0,1,1,1,1,1,0,0,0,0,2,0,0,4,1,2,2,1,0,0,0,0,An.coluzzii
5.5,2 days,2,1,1,1,0,0,0,0,0,0,0,0,0,3,3,2,0,4,2,3,0,0,0,0,An.coluzzii
6,2 days,2,1,0,0,1,2,0,1,0,0,0,0,2,2,4,1,0,2,0,3,0,0,0,0,An.coluzzii
6.5,2 days,1,2,1,0,0,0,0,1,0,0,0,0,1,4,1,0,0,0,0,2,0,0,0,0,An.coluzzii
7,2 days,2,1,0,1,0,0,0,1,0,0,0,0,4,2,5,2,0,0,1,0,0,1,0,0,An.coluzzii
7.5,2 days,0,1,2,1,0,0,0,0,0,0,0,0,3,1,1,2,0,0,0,0,0,0,0,0,An.coluzzii
8,2 days,0,0,3,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,An.coluzzii
8.5,2 days,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,An.coluzzii
9,2 days,0,1,2,1,0,0,1,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,An.coluzzii
9.5,2 days,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,An.coluzzii
10,2 days,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,An.coluzzii
10.5,2 days,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,An.coluzzii
11,2 days,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,An.coluzzii
11.5,2 days,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,An.coluzzii
12,2 days,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,An.coluzzii
12.5,2 days,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,An.coluzzii
13,2 days,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,An.coluzzii
13.5,2 days,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,An.coluzzii
14,2 days,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,An.coluzzii
Alive,2 days,0,0,0,0,0,0,0,0,20,23,19,24,0,1,1,0,0,0,0,0,29,26,27,28,An.coluzzii
0,2 days,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,An.gambiae s.s.
0.5,2 days,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,An.gambiae s.s.
1,2 days,8,6,6,10,10,10,10,8,6,7,9,7,0,0,0,0,0,0,0,0,0,0,0,0,An.gambiae s.s.
1.5,2 days,0,0,0,2,3,1,2,1,0,1,0,0,0,2,0,0,1,1,2,2,0,0,0,0,An.gambiae s.s.
2,2 days,0,1,1,1,0,1,0,3,0,0,0,0,2,1,1,4,0,1,0,0,0,0,0,0,An.gambiae s.s.
2.5,2 days,3,2,4,0,2,0,6,5,0,0,0,1,2,1,2,1,0,3,1,1,0,0,0,0,An.gambiae s.s.
3,2 days,0,0,1,0,1,7,1,3,1,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,An.gambiae s.s.
3.5,2 days,0,4,0,1,9,4,1,0,0,0,0,0,2,2,0,1,4,3,6,2,0,0,0,0,An.gambiae s.s.
4,2 days,1,0,0,1,0,1,1,0,0,0,0,0,0,1,4,3,5,5,0,3,0,0,0,0,An.gambiae s.s.
4.5,2 days,1,1,1,0,1,2,2,0,0,0,0,0,0,1,2,0,8,5,3,2,0,0,0,0,An.gambiae s.s.
5,2 days,0,0,1,1,1,1,1,3,0,0,0,0,4,4,3,2,6,0,5,2,0,0,0,0,An.gambiae s.s.
5.5,2 days,8,1,1,2,0,0,0,1,0,0,0,0,5,1,0,2,1,3,6,3,0,0,0,0,An.gambiae s.s.
6,2 days,1,2,0,1,1,0,0,3,0,0,0,0,1,0,0,0,1,4,1,3,0,0,0,0,An.gambiae s.s.
6.5,2 days,1,0,1,1,1,0,0,1,0,0,0,0,2,1,3,0,2,1,1,1,0,0,0,0,An.gambiae s.s.
7,2 days,0,1,1,1,1,0,0,0,0,0,0,0,1,5,4,6,0,1,2,2,0,0,0,0,An.gambiae s.s.
7.5,2 days,0,1,1,1,0,1,1,1,0,0,0,0,0,1,2,2,0,1,1,3,0,0,0,0,An.gambiae s.s.
8,2 days,1,1,0,2,0,0,2,1,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,An.gambiae s.s.
8.5,2 days,0,1,2,2,0,0,0,0,0,1,0,0,0,1,1,2,0,0,0,1,0,0,0,0,An.gambiae s.s.
9,2 days,1,3,0,1,0,0,1,0,0,0,0,0,0,0,3,3,0,1,0,0,0,0,0,0,An.gambiae s.s.
9.5,2 days,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,An.gambiae s.s.
10,2 days,0,1,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,An.gambiae s.s.
10.5,2 days,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,An.gambiae s.s.
